id,medicineName,dose,volumeUnit,pvp,reImbursementRate
3022,Montelucaste Bluepharma,4 mg,Blister - 28 unidade(s),6.67,69%
3023,Montelucaste Bluepharma,5 mg,Blister - 28 unidade(s),6.37,69%
3024,Montelucaste Bluepharma,10 mg,Blister - 28 unidade(s),5.69,69%
3025,Montelucaste Bluepharma,10 mg,Blister - 14 unidade(s),3.39,69%
3026,Montelucaste Chesmon,10 mg,Blister - 28 unidade(s),8.65,69%
3027,Montelucaste Ciclum,4 mg,Blister - 28 unidade(s),5.5,69%
3028,Montelucaste Ciclum,5 mg,Blister - 28 unidade(s),5.33,69%
3029,Montelucaste Ciclum,5 mg,Blister - 14 unidade(s),3.88,69%
3030,Montelucaste Ciclum,10 mg,Blister - 28 unidade(s),5.08,69%
3031,Montelucaste Ciclum,10 mg,Blister - 14 unidade(s),3.27,69%
3032,Montelucaste Cinfa,4 mg,Saqueta - 28 unidade(s),15.78,69%
3033,Montelucaste Cinfa,10 mg,Blister - 28 unidade(s),5.28,69%
3034,Montelucaste Cinfa,10 mg,Blister - 14 unidade(s),2.81,69%
3035,Montelucaste Cinfa,4 mg,Blister - 28 unidade(s),5.3,69%
3036,Montelucaste Cinfa,5 mg,Blister - 28 unidade(s),5.3,69%
3037,Montelucaste Farmoz,10 mg,Blister - 28 unidade(s),9.5,69%
3038,Montelucaste Generis,5 mg,Blister - 14 unidade(s),3.45,69%
3039,Montelucaste Generis,5 mg,Blister - 28 unidade(s),5.35,69%
3040,Montelucaste Generis,4 mg,Blister - 28 unidade(s),5.6,69%
3041,Montelucaste Generis,4 mg,Blister - 14 unidade(s),3.33,69%
3042,Montelucaste Generis,10 mg,Blister - 28 unidade(s),5.28,69%
3043,Montelucaste Generis,10 mg,Blister - 14 unidade(s),3.19,69%
3044,Montelucaste Krka,4 mg,Blister - 28 unidade(s),8,69%
3045,Montelucaste Krka,5 mg,Blister - 28 unidade(s),6.66,69%
3046,Montelucaste Krka,5 mg,Blister - 14 unidade(s),4.2,69%
3047,Montelucaste Krka,10 mg,Blister - 28 unidade(s),5.95,69%
3048,Montelucaste Krka,10 mg,Blister - 14 unidade(s),3.52,69%
3049,Montelucaste Labesfal,10 mg,Blister - 28 unidade(s),5.22,69%
3050,Montelucaste Labesfal,4 mg,Blister - 28 unidade(s),6.11,69%
3051,Montelucaste Mylan,10 mg,Blister - 28 unidade(s),5.3,69%
3052,Montelucaste Mylan,10 mg,Blister - 14 unidade(s),9.25,69%
3053,Montelucaste Mylan,4 mg,Blister - 28 unidade(s),5.6,69%
3054,Montelucaste Mylan,5 mg,Blister - 28 unidade(s),5.83,69%
3055,Montelucaste Mylan,5 mg,Blister - 14 unidade(s),9.23,69%
3056,Montelucaste Pharmakern,4 mg,Blister - 56 unidade(s),16,69%
3057,Montelucaste Pharmakern,5 mg,Blister - 56 unidade(s),16.36,69%
3058,Montelucaste Pharmakern,10 mg,Blister - 56 unidade(s),20,69%
3059,Montelucaste Ratiopharm,10 mg,Blister - 28 unidade(s),5.3,69%
3060,Montelucaste Ratiopharm,10 mg,Blister - 14 unidade(s),5.31,69%
3061,Montelucaste Ratiopharm,4 mg,Saqueta - 28 unidade(s),17.35,69%
3062,Montelucaste Ratiopharm,4 mg,Saqueta - 7 unidade(s),4.94,69%
3063,Montelucaste Ratiopharm,5 mg,Blister - 28 unidade(s),6.37,69%
3064,Montelucaste Ratiopharm,5 mg,Blister - 14 unidade(s),6.15,69%
3065,Montelucaste Ratiopharm,4 mg,Blister - 28 unidade(s),6.1,69%
3066,Montelucaste Ratiopharm,4 mg,Blister - 14 unidade(s),5.95,69%
3067,Montelucaste Sandoz,10 mg,Blister - 28 unidade(s),8.46,69%
3068,Montelucaste Sandoz,4 mg,Saqueta - 28 unidade(s),18.79,69%
3069,Montelucaste Tecnigen,10 mg,Blister - 28 unidade(s),4.75,69%
3070,Montelucaste Tecnigen,10 mg,Blister - 14 unidade(s),2.52,69%
3071,Montelucaste Tecnilor,10 mg,Blister - 28 unidade(s),12.9,69%
3072,Montelucaste Tetrafarma,10 mg,Blister - 28 unidade(s),9.5,69%
3073,Montelucaste Teva,5 mg,Blister - 28 unidade(s),9.17,69%
3074,Montelucaste Teva,5 mg,Blister - 14 unidade(s),6.43,69%
3075,Montelucaste Teva,4 mg,Blister - 28 unidade(s),9.51,69%
3076,Montelucaste Teva,4 mg,Blister - 14 unidade(s),6.22,69%
3077,Montelucaste Teva,10 mg,Blister - 28 unidade(s),8.68,69%
3078,Montelucaste Teva,10 mg,Blister - 14 unidade(s),5.79,69%
3079,Montelucaste Tolife,5 mg,Blister - 28 unidade(s),9.39,69%
3080,Montelucaste Tolife,5 mg,Blister - 14 unidade(s),5.17,69%
3081,Montelucaste Tolife,4 mg,Blister - 28 unidade(s),9.82,69%
3082,Montelucaste Tolife,4 mg,Blister - 14 unidade(s),5,69%
3083,Montelucaste Tolife,10 mg,Blister - 28 unidade(s),5.69,69%
3084,Montelucaste Tolife,10 mg,Blister - 14 unidade(s),4.87,69%
3085,Moxifloxacina Bluepharma,400 mg,Blister - 5 unidade(s),8.51,69%
3086,Moxifloxacina Bluepharma,400 mg,Blister - 7 unidade(s),10.79,69%
3087,Moxifloxacina Krka,400 mg,Blister - 7 unidade(s),12.59,69%
3088,Moxifloxacina Krka,400 mg,Blister - 5 unidade(s),9.94,69%
3089,Moxifloxacina Mylan,400 mg,Blister - 5 unidade(s),9.44,69%
3090,Moxifloxacina Mylan,400 mg,Blister - 7 unidade(s),11.96,69%
3091,Myfenax,250 mg,Blister - 100 unidade(s),53.94,0%
3092,Myfenax,500 mg,Blister - 50 unidade(s),53.94,0%
3093,Naltrexona Destoxican 50 mg/20 ml Solução Oral,50 mg/20 ml,Frasco - 20 unidade(s) - 20 ml,22.96,37%
3094,Naproxeno Generis,250 mg,Blister - 20 unidade(s),2.98,37%
3095,Naproxeno Generis,250 mg,Blister - 60 unidade(s),3.85,37%
3096,Naproxeno Generis,500 mg,Blister - 20 unidade(s),4.18,37%
3097,Naproxeno Generis,500 mg,Blister - 60 unidade(s),9.32,37%
3098,Naproxeno Generis 500 mg Comprimidos gastrorresistentes,500 mg,Blister - 60 unidade(s),9.24,37%
3099,Naproxeno Generis 500 mg Comprimidos gastrorresistentes,500 mg,Blister - 20 unidade(s),3.85,37%
3100,Naproxeno Generis Phar,250 mg,Blister - 60 unidade(s),3.85,0%
3101,Naproxeno Generis Phar,250 mg,Blister - 20 unidade(s),2.98,0%
3102,Naproxeno Generis Phar,500 mg,Blister - 60 unidade(s),9.32,0%
3103,Naproxeno Generis Phar,500 mg,Blister - 20 unidade(s),4.18,0%
3104,Naproxeno GP 500 mg Comprimidos gastrorresistentes,500 mg,Blister - 20 unidade(s),3.84,37%
3105,Naproxeno GP 500 mg Comprimidos gastrorresistentes,500 mg,Blister - 60 unidade(s),9.2,37%
3106,Naproxeno Labesfal,500 mg,Blister - 10 unidade(s),2.58,37%
3107,Nargoran,10 mg,Blister - 20 unidade(s),4.66,0%
3108,Nebivolol Aurovitas,5 mg,Blister - 14 unidade(s),4.01,69%
3109,Nebivolol Aurovitas,5 mg,Blister - 28 unidade(s),5,69%
3110,Nebivolol Ciclum,5 mg,Blister - 28 unidade(s),4.33,69%
3111,Nebivolol Ciclum,5 mg,Blister - 14 unidade(s),4,69%
3112,Nebivolol Generis,5 mg,Blister - 28 unidade(s),6.47,69%
3113,Nebivolol GP,5 mg,Blister - 28 unidade(s),6.38,69%
3114,Nebivolol GP,5 mg,Blister - 14 unidade(s),4.13,69%
3115,Nebivolol Labesfal,5 mg,Blister - 28 unidade(s),5.64,69%
3116,Nebivolol Mylan,5 mg,Blister - 28 unidade(s),6.17,69%
3117,Nebivolol Ratiopharm,5 mg,Blister - 7 unidade(s),2.44,69%
3118,Nebivolol Ratiopharm,5 mg,Blister - 28 unidade(s),6.17,69%
3119,Nebivolol Sandoz,5 mg,Blister - 28 unidade(s),6.17,69%
3120,Nebivolol Teva,5 mg,Blister - 28 unidade(s),5.64,69%
3121,Nebivolol Teva,5 mg,Blister - 14 unidade(s),4.13,69%
3122,Nebivolol ToLife,5 mg,Blister - 28 unidade(s),6.38,69%
3123,Nebivolol ToLife,5 mg,Blister - 14 unidade(s),4.13,69%
3124,Nebivolol Zentiva,5 mg,Blister - 28 unidade(s),6.15,69%
3125,Nemdatine,10 mg,Blister - 56 unidade(s),18.9,0%
3126,Nemdatine,10 mg,Blister - 28 unidade(s),15.82,0%
3127,Nemdatine,20 mg,Blister - 28 unidade(s),18.9,0%
3128,Nifedipina Generis,60 mg,Blister - 28 unidade(s),10.16,69%
3129,Nimesulida Almus,100 mg,Blister - 30 unidade(s),3.27,37%
3130,Nimesulida Almus,100 mg,Blister - 10 unidade(s),2.52,37%
3131,Nimesulida Alter,100 mg,Blister - 10 unidade(s),2.51,37%
3132,Nimesulida Baldacci,100 mg,Blister - 20 unidade(s),3.85,37%
3133,Nimesulida Basi,100 mg,Blister - 20 unidade(s),3.98,37%
3134,Nimesulida Bluepharma,100 mg,Blister - 20 unidade(s),3.84,37%
3135,Nimesulida Ciclum,100 mg,Blister - 20 unidade(s),3.44,37%
3136,Nimesulida Cinfa,100 mg,Blister - 20 unidade(s),3.85,37%
3137,Nimesulida Farmoz,100 mg,Blister - 30 unidade(s),3.52,37%
3138,Nimesulida Farmoz,100 mg,Blister - 10 unidade(s),2.51,37%
3139,Nimesulida Generis,100 mg,Blister - 20 unidade(s),3.85,37%
3140,Nimesulida Generis,100 mg,Saqueta - 20 unidade(s),3.55,37%
3141,Nimesulida GP,100 mg,Blister - 20 unidade(s),3.85,37%
3142,Nimesulida Jabasulide,100 mg,Blister - 20 unidade(s),3.84,37%
3143,Nimesulida Jabasulide,100 mg,Saqueta - 20 unidade(s),3.55,37%
3144,Nimesulida Labesfal,100 mg,Saqueta - 20 unidade(s),3.55,37%
3145,Nimesulida Pentafarma,100 mg,Blister - 10 unidade(s),2.52,37%
3146,Nimesulida Pentafarma,100 mg,Blister - 30 unidade(s),3.15,37%
3147,Nimesulida Pharmakern,100 mg,Blister - 20 unidade(s),3.84,37%
3148,Nimesulida Ratiopharm,100 mg,Blister - 20 unidade(s),3.85,37%
3149,Nimesulida Sandoz,100 mg,Blister - 10 unidade(s),2.38,37%
3150,Nimesulida Sandoz,100 mg,Blister - 30 unidade(s),3.85,37%
3151,Norfloxacina Cinfa 400 mg Comprimidos,400 mg,Blister - 14 unidade(s),3.85,69%
3152,Ofloxacina Mylan,200 mg,Blister - 16 unidade(s),4.62,69%
3153,Olanzapina Alter,2.5 mg,Blister - 28 unidade(s),4.34,90%
3154,Olanzapina Alter,5 mg,Blister - 28 unidade(s),16.24,90%
3155,Olanzapina Alter,10 mg,Blister - 28 unidade(s),28.48,90%
3156,Olanzapina Alter,10 mg,Blister - 28 unidade(s),17.69,90%
3157,Olanzapina Alter,5 mg,Blister - 28 unidade(s),9.1,90%
3158,Olanzapina Aurobindo,5 mg,Blister - 28 unidade(s),23.66,90%
3159,Olanzapina Aurobindo,15 mg,Blister - 28 unidade(s),60.53,90%
3160,Olanzapina Aurobindo,7.5 mg,Blister - 28 unidade(s),35.06,90%
3161,Olanzapina Aurobindo,10 mg,Blister - 28 unidade(s),42.68,90%
3162,Olanzapina Aurobindo,2.5 mg,Blister - 14 unidade(s),5.55,90%
3163,Olanzapina Aurobindo,10 mg,Blister - 28 unidade(s),18.43,90%
3164,Olanzapina Aurovitas,5 mg,Blister - 28 unidade(s),23.66,0%
3165,Olanzapina Aurovitas,5 mg,Blister - 28 unidade(s),17.65,90%
3166,Olanzapina Aurovitas,10 mg,Blister - 28 unidade(s),44.97,0%
3167,Olanzapina Aurovitas,10 mg,Blister - 28 unidade(s),17.69,90%
3168,Olanzapina Aurovitas,5 mg,Blister - 28 unidade(s),18.78,90%
3169,Olanzapina Aurovitas,2.5 mg,Blister - 28 unidade(s),5.6,90%
3170,Olanzapina Aurovitas,7.5 mg,Blister - 28 unidade(s),33.3,90%
3171,Olanzapina Aurovitas,10 mg,Blister - 28 unidade(s),35.68,90%
3172,Olanzapina Aurovitas,15 mg,Blister - 28 unidade(s),44.42,90%
3173,Olanzapina Azevedos,5 mg,Blister - 28 unidade(s),8.53,90%
3174,Olanzapina Azevedos,2.5 mg,Blister - 28 unidade(s),4.44,90%
3175,Olanzapina Azevedos,10 mg,Blister - 28 unidade(s),16.47,90%
3176,Olanzapina Basi,10 mg,Blister - 28 unidade(s),16.9,90%
3177,Olanzapina Basi,5 mg,Blister - 28 unidade(s),8.99,90%
3178,Olanzapina Bluepharma,5 mg,Blister - 28 unidade(s),14.1,90%
3179,Olanzapina Bluepharma,10 mg,Blister - 28 unidade(s),24.49,90%
3180,Olanzapina Bluepharma,2.5 mg,Blister - 28 unidade(s),6.44,90%
3181,Olanzapina Ciclum,2.5 mg,Blister - 28 unidade(s),4.54,90%
3182,Olanzapina Cinfa,2.5 mg,Blister - 28 unidade(s),8.01,90%
3183,Olanzapina Cinfa,10 mg,Blister - 28 unidade(s),22.73,90%
3184,Olanzapina Cinfa,5 mg,Blister - 28 unidade(s),12.45,90%
3185,Olanzapina Deka,5 mg,Blister - 28 unidade(s),13.62,0%
3186,Olanzapina Farmoz,2.5 mg,Blister - 28 unidade(s),5.85,90%
3187,Olanzapina Farmoz,5 mg,Blister - 14 unidade(s),12.39,90%
3188,Olanzapina Farmoz,10 mg,Blister - 28 unidade(s),35.68,90%
3189,Olanzapina Farmoz,10 mg,Blister - 28 unidade(s),22.73,90%
3190,Olanzapina Farmoz,5 mg,Blister - 28 unidade(s),12.47,90%
3191,Olanzapina Generis,10 mg,Blister - 56 unidade(s),89.45,0%
3192,Olanzapina Generis,10 mg,Blister - 28 unidade(s),20,90%
3193,Olanzapina Generis,2.5 mg,Blister - 28 unidade(s),5.36,90%
3194,Olanzapina Generis,15 mg,Blister - 56 unidade(s),128.8,0%
3195,Olanzapina Generis,15 mg,Blister - 28 unidade(s),61,0%
3196,Olanzapina Generis,5 mg,Blister - 56 unidade(s),47.2,0%
3197,Olanzapina Generis,5 mg,Blister - 28 unidade(s),11.49,90%
3198,Olanzapina Generis,20 mg,Blister - 56 unidade(s),167.05,0%
3199,Olanzapina Generis,20 mg,Blister - 28 unidade(s),82.93,0%
3200,Olanzapina Krka,10 mg,Blister - 28 unidade(s),20.44,90%
3201,Olanzapina Krka,20 mg,Blister - 28 unidade(s),69.39,90%
3202,Olanzapina Krka,10 mg,Blister - 28 unidade(s),29.98,90%
3203,Olanzapina Krka,2.5 mg,Blister - 28 unidade(s),5.06,90%
3204,Olanzapina Krka,5 mg,Blister - 28 unidade(s),17.1,90%
3205,Olanzapina Krka,7.5 mg,Blister - 28 unidade(s),20.65,90%
3206,Olanzapina Krka,15 mg,Blister - 28 unidade(s),44.42,90%
3207,Olanzapina Krka,5 mg,Blister - 28 unidade(s),10.98,90%
3208,Olanzapina Krka,15 mg,Blister - 28 unidade(s),41.66,90%
3209,Olanzapina Labesfal Odis,5 mg,Blister - 28 unidade(s),9.49,90%
3210,Olanzapina Labesfal Odis,10 mg,Blister - 28 unidade(s),20,90%
3211,Olanzapina Nolian,2.5 mg,Blister - 28 unidade(s),5.06,90%
3212,Olanzapina Nolian,5 mg,Blister - 28 unidade(s),16.24,90%
3213,Olanzapina Nolian,5 mg,Blister - 14 unidade(s),11.79,90%
3214,Olanzapina Nolian,10 mg,Blister - 28 unidade(s),26.96,90%
3215,Olanzapina Nolian,10 mg,Blister - 28 unidade(s),17.69,90%
3216,Olanzapina Nolian,5 mg,Blister - 28 unidade(s),9.1,90%
3217,Olanzapina Pharmakern,5 mg,Blister - 28 unidade(s),11.04,90%
3218,Olanzapina Pharmakern,10 mg,Blister - 28 unidade(s),20.02,90%
3219,Olanzapina ratiopharm,2.5 mg,Blister - 28 unidade(s),8.35,90%
3220,Olanzapina ratiopharm,10 mg,Blister - 28 unidade(s),24.58,90%
3221,Olanzapina Ratiopharm,5 mg,Blister - 28 unidade(s),13.62,90%
3222,Olanzapina Sandoz,2.5 mg,Blister - 28 unidade(s),4.92,90%
3223,Olanzapina Sandoz,5 mg,Blister - 28 unidade(s),11.49,90%
3224,Olanzapina Sandoz,10 mg,Blister - 28 unidade(s),20.88,90%
3225,Olanzapina Teva,2.5 mg,Blister - 28 unidade(s),4.92,90%
3226,Olanzapina Teva,7.5 mg,Blister - 28 unidade(s),19.61,90%
3227,Olanzapina Teva,10 mg,Blister - 28 unidade(s),26.96,90%
3228,Olanzapina Teva,15 mg,Blister - 28 unidade(s),42.19,90%
3229,Olanzapina Teva,5 mg,Blister - 28 unidade(s),16.24,90%
3230,Olanzapina Teva,5 mg,Blister - 28 unidade(s),9.1,90%
3231,Olanzapina Teva,10 mg,Blister - 28 unidade(s),17.69,90%
3232,Olanzapina Teva,15 mg,Blister - 28 unidade(s),39.57,90%
3233,Olanzapina Teva,20 mg,Blister - 28 unidade(s),65.92,90%
3234,Olanzapina toLife,5 mg,Blister - 28 unidade(s),10.97,90%
3235,Olanzapina toLife,10 mg,Blister - 28 unidade(s),20,90%
3236,Olanzapina toLife,5 mg,Blister - 28 unidade(s),21.71,90%
3237,Olanzapina toLife,10 mg,Blister - 28 unidade(s),37.83,90%
3238,Olanzapina toLife,2.5 mg,Blister - 28 unidade(s),5.06,90%
3239,Olanzapina Vida,5 mg,Recipiente para comprimidos - 14 unidade(s),12.39,0%
3240,Olanzapina Vida,5 mg,Blister - 14 unidade(s),12.39,0%
3241,Olanzapina Vida,5 mg,Recipiente para comprimidos - 28 unidade(s),23.66,0%
3242,Olanzapina Vida,5 mg,Blister - 28 unidade(s),23.66,0%
3243,Olanzapina Vida,20 mg,Recipiente para comprimidos - 28 unidade(s),82.93,0%
3244,Olanzapina Vida,20 mg,Blister - 14 unidade(s),42.3,0%
3245,Olanzapina Vida,20 mg,Recipiente para comprimidos - 14 unidade(s),42.3,0%
3246,Olanzapina Vida,20 mg,Blister - 28 unidade(s),82.93,0%
3247,Olanzapina Vida,15 mg,Blister - 28 unidade(s),61,0%
3248,Olanzapina Vida,15 mg,Recipiente para comprimidos - 14 unidade(s),34.39,0%
3249,Olanzapina Vida,15 mg,Blister - 14 unidade(s),34.39,0%
3250,Olanzapina Vida,15 mg,Recipiente para comprimidos - 28 unidade(s),61,0%
3251,Olanzapina Vida,10 mg,Recipiente para comprimidos - 14 unidade(s),22.55,0%
3252,Olanzapina Vida,10 mg,Recipiente para comprimidos - 28 unidade(s),44.97,0%
3253,Olanzapina Vida,10 mg,Blister - 14 unidade(s),22.55,0%
3254,Olanzapina Vida,10 mg,Blister - 28 unidade(s),44.97,0%
3255,Olanzapina Zentiva,5 mg,Blister - 28 unidade(s),9.47,90%
3256,Olanzapina Zentiva,10 mg,Blister - 28 unidade(s),18.41,90%
3257,Olanzapina Zentiva,15 mg,Blister - 28 unidade(s),37.59,90%
3258,Olanzapina Zentiva,20 mg,Blister - 28 unidade(s),64.25,90%
3259,Olmesartan + Hidroclorotiazida Sandoz,20 mg + 25 mg,Blister - 56 unidade(s),14.1,69%
3260,Olmesartan + Hidroclorotiazida Sandoz,40 mg + 25 mg,Blister - 56 unidade(s),20.71,69%
3261,Olmesartan + Hidroclorotiazida Sandoz,40 mg + 12.5 mg,Blister - 56 unidade(s),20.71,69%
3262,Olmesartan + Hidroclorotiazida Sandoz,20 mg + 12.5 mg,Blister - 56 unidade(s),14.1,69%
3263,Olmesartan medoxomilo + Hidroclorotiazida Alter,20 mg + 25 mg,Blister - 56 unidade(s),10.9,69%
3264,Olmesartan medoxomilo + Hidroclorotiazida Alter,20 mg + 25 mg,Blister - 14 unidade(s),4.17,69%
3265,Olmesartan medoxomilo + Hidroclorotiazida Alter,20 mg + 12.5 mg,Blister - 14 unidade(s),4.17,69%
3266,Olmesartan medoxomilo + Hidroclorotiazida Alter,20 mg + 12.5 mg,Blister - 56 unidade(s),10.9,69%
3267,Olmesartan medoxomilo + Hidroclorotiazida Alter,40 mg + 25 mg,Blister - 56 unidade(s),13.76,69%
3268,Olmesartan medoxomilo + Hidroclorotiazida Alter,40 mg + 12.5 mg,Blister - 56 unidade(s),14.1,69%
3269,Olmesartan medoxomilo + Hidroclorotiazida Atolme,20 mg + 12.5 mg,Blister - 56 unidade(s),11.53,69%
3270,Olmesartan medoxomilo + Hidroclorotiazida Atolme,40 mg + 25 mg,Blister - 56 unidade(s),13.77,69%
3271,Olmesartan medoxomilo + Hidroclorotiazida Atolme,40 mg + 12.5 mg,Blister - 56 unidade(s),16.85,69%
3272,Olmesartan medoxomilo + Hidroclorotiazida Atolme,20 mg + 25 mg,Blister - 56 unidade(s),11.53,69%
3273,Olmesartan medoxomilo + Hidroclorotiazida Atolme,20 mg + 25 mg,Blister - 14 unidade(s),3.96,69%
3274,Olmesartan medoxomilo + Hidroclorotiazida Aurobindo,20 mg + 12.5 mg,Blister - 56 unidade(s),12.73,69%
3275,Olmesartan medoxomilo + Hidroclorotiazida Aurobindo,20 mg + 25 mg,Blister - 56 unidade(s),18.28,69%
3276,Olmesartan medoxomilo + Hidroclorotiazida Aurobindo,20 mg + 25 mg,Blister - 14 unidade(s),5.42,69%
3277,Olmesartan medoxomilo + Hidroclorotiazida Aurobindo,40 mg + 12.5 mg,Blister - 56 unidade(s),22.95,69%
3278,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,20 mg + 12.5 mg,Blister - 14 unidade(s),5.42,69%
3279,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,20 mg + 12.5 mg,Blister - 56 unidade(s),18.28,69%
3280,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,40 mg + 25 mg,Blister - 56 unidade(s),22.95,69%
3281,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,20 mg + 25 mg,Blister - 56 unidade(s),18.28,69%
3282,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,20 mg + 25 mg,Blister - 14 unidade(s),5.42,69%
3283,Olmesartan medoxomilo + Hidroclorotiazida Aurovitas,40 mg + 12.5 mg,Blister - 56 unidade(s),22.95,69%
3284,Olmesartan medoxomilo + Hidroclorotiazida Azevedos,20 mg + 12.5 mg,Blister - 56 unidade(s),10.35,69%
3285,Olmesartan medoxomilo + Hidroclorotiazida Azevedos,40 mg + 25 mg,Blister - 56 unidade(s),13.02,69%
3286,Olmesartan medoxomilo + Hidroclorotiazida Azevedos,40 mg + 12.5 mg,Blister - 56 unidade(s),13.02,69%
3287,Olmesartan medoxomilo + Hidroclorotiazida Azevedos,20 mg + 25 mg,Blister - 56 unidade(s),10.35,69%
3288,Olmesartan medoxomilo + Hidroclorotiazida Ciclum,20 mg + 12.5 mg,Blister - 14 unidade(s),5.14,69%
3289,Olmesartan medoxomilo + Hidroclorotiazida Ciclum,20 mg + 12.5 mg,Blister - 56 unidade(s),9.3,69%
3290,Olmesartan medoxomilo + Hidroclorotiazida Ciclum,20 mg + 25 mg,Blister - 56 unidade(s),9.3,69%
3291,Olmesartan medoxomilo + Hidroclorotiazida Ciclum,40 mg + 12.5 mg,Blister - 56 unidade(s),13.71,69%
3292,Olmesartan medoxomilo + Hidroclorotiazida Ciclum,40 mg + 25 mg,Blister - 56 unidade(s),13.71,69%
3293,Olmesartan medoxomilo + Hidroclorotiazida Cinfa,20 mg + 25 mg,Blister - 14 unidade(s),2.74,69%
3294,Olmesartan medoxomilo + Hidroclorotiazida Cinfa,20 mg + 25 mg,Blister - 56 unidade(s),8.86,69%
3295,Olmesartan medoxomilo + Hidroclorotiazida Cinfa,20 mg + 12.5 mg,Blister - 56 unidade(s),8.86,69%
3296,Olmesartan medoxomilo + Hidroclorotiazida Cinfa,20 mg + 12.5 mg,Blister - 14 unidade(s),2.6,69%
3297,Olmesartan medoxomilo + Hidroclorotiazida Farmoz,40 mg + 12.5 mg,Blister - 56 unidade(s),12.33,69%
3298,Olmesartan medoxomilo + Hidroclorotiazida Farmoz,20 mg + 25 mg,Blister - 56 unidade(s),9.86,69%
3299,Olmesartan medoxomilo + Hidroclorotiazida Farmoz,20 mg + 12.5 mg,Blister - 56 unidade(s),9.86,69%
3300,Olmesartan medoxomilo + Hidroclorotiazida Farmoz,40 mg + 25 mg,Blister - 56 unidade(s),13.71,69%
3301,Olmesartan medoxomilo + Hidroclorotiazida Generis,20 mg + 12.5 mg,Blister - 56 unidade(s),9.33,69%
3302,Olmesartan medoxomilo + Hidroclorotiazida Generis,40 mg + 12.5 mg,Blister - 56 unidade(s),11.74,69%
3303,Olmesartan medoxomilo + Hidroclorotiazida Generis,20 mg + 25 mg,Blister - 56 unidade(s),9.33,69%
3304,Olmesartan medoxomilo + Hidroclorotiazida Krka,40 mg + 12.5 mg,Blister - 56 unidade(s),19.67,69%
3305,Olmesartan medoxomilo + Hidroclorotiazida Krka,40 mg + 25 mg,Blister - 56 unidade(s),19.67,69%
3306,Olmesartan medoxomilo + Hidroclorotiazida Krka,20 mg + 12.5 mg,Blister - 56 unidade(s),15.66,69%
3307,Olmesartan medoxomilo + Hidroclorotiazida Krka,20 mg + 12.5 mg,Blister - 14 unidade(s),4.63,69%
3308,Olmesartan medoxomilo + Hidroclorotiazida Krka,20 mg + 25 mg,Blister - 56 unidade(s),15.66,69%
3309,Olmesartan medoxomilo + Hidroclorotiazida Krka,20 mg + 25 mg,Blister - 14 unidade(s),4.63,69%
3310,Olmesartan medoxomilo + Hidroclorotiazida Mylan,40 mg + 25 mg,Blister - 56 unidade(s),18.68,69%
3311,Olmesartan medoxomilo + Hidroclorotiazida Mylan,40 mg + 12.5 mg,Blister - 56 unidade(s),18.68,69%
3312,Olmesartan medoxomilo + Hidroclorotiazida Mylan,20 mg + 25 mg,Blister - 56 unidade(s),14.1,69%
3313,Olmesartan medoxomilo + Hidroclorotiazida Mylan,20 mg + 12.5 mg,Blister - 56 unidade(s),14.1,69%
3314,Olmesartan medoxomilo + Hidroclorotiazida Mylan,20 mg + 12.5 mg,Blister - 14 unidade(s),4.39,69%
3315,Olmesartan medoxomilo + Hidroclorotiazida Pentafarma,20 mg + 12.5 mg,Blister - 56 unidade(s),11.48,69%
3316,Olmesartan medoxomilo + Hidroclorotiazida Pentafarma,40 mg + 12.5 mg,Blister - 56 unidade(s),14.1,69%
3317,Olmesartan medoxomilo + Hidroclorotiazida Pentafarma,40 mg + 25 mg,Blister - 56 unidade(s),14.1,69%
3318,Olmesartan medoxomilo + Hidroclorotiazida Pentafarma,20 mg + 25 mg,Blister - 56 unidade(s),11.48,69%
3319,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,40 mg + 25 mg,Blister - 56 unidade(s),15.2,69%
3320,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,40 mg + 12.5 mg,Blister - 56 unidade(s),15.2,69%
3321,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,20 mg + 12.5 mg,Blister - 56 unidade(s),12.09,69%
3322,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,20 mg + 12.5 mg,Blister - 14 unidade(s),3.57,69%
3323,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,20 mg + 25 mg,Blister - 56 unidade(s),12.09,69%
3324,Olmesartan medoxomilo + Hidroclorotiazida Pharmakern,20 mg + 25 mg,Blister - 14 unidade(s),3.57,69%
3325,Olmesartan medoxomilo + Hidroclorotiazida ratiopharm,40 mg + 12.5 mg,Blister - 56 unidade(s),19.95,69%
3326,Olmesartan medoxomilo + Hidroclorotiazida ratiopharm,40 mg + 25 mg,Blister - 56 unidade(s),19.95,69%
3327,Olmesartan medoxomilo + Hidroclorotiazida ratiopharm,20 mg + 25 mg,Blister - 56 unidade(s),17.38,69%
3328,Olmesartan medoxomilo + Hidroclorotiazida ratiopharm,20 mg + 12.5 mg,Blister - 14 unidade(s),5.42,69%
